北 海 道,"411,100"
青 森 県,"120,700"
岩 手 県,"117,900"
宮 城 県,"213,300"
秋 田 県,"93,000"
山 形 県,"116,800"
福 島 県,"162,500"
茨 城 県,"228,100"
栃 木 県,"160,200"
群 馬 県,"159,100"
埼 玉 県,"591,800"
千 葉 県,"501,900"
東 京 都,"1,509,500"
神奈川県,"747,200"
新 潟 県,"216,800"
富 山 県,"116,300"
石 川 県,"123,100"
福 井 県,"85,700"
山 梨 県,"67,800"
長 野 県,"191,700"
岐 阜 県,"172,500"
静 岡 県,"315,000"
愛 知 県,"640,900"
三 重 県,"147,700"
滋 賀 県,"112,000"
京 都 府,"210,500"
大 阪 府,"747,800"
兵 庫 県,"448,200"
奈 良 県,"99,300"
和歌山県,"73,500"
鳥 取 県,"56,800"
島 根 県,"66,500"
岡 山 県,"179,600"
広 島 県,"245,600"
山 口 県,"118,800"
徳 島 県,"73,100"
香 川 県,"89,500"
愛 媛 県,"118,300"
高 知 県,"72,700"
福 岡 県,"438,700"
佐 賀 県,"84,600"
長 崎 県,"125,700"
熊 本 県,"176,400"
大 分 県,"108,300"
宮 崎 県,"103,200"
鹿児島県,"137,100"
沖 縄 県,"114,600"
